City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
411,san matias,-16.3667,-58.4,24.46,81,51,2.12,BO,1674448626
412,taltal,-25.4,-70.4833,19.34,83,27,0.75,CL,1674448626
413,saldanha,-33.0117,17.9442,16.03,91,0,3.41,ZA,1674448627
414,pinega,64.7001,43.3936,-9.96,91,30,3.81,RU,1674448627
415,kuah,6.3265,99.8432,29.99,66,40,3.09,MY,1674448628
416,narsaq,60.9167,-46.05,-14.88,69,30,3.23,GL,1674448628
417,svetlaya,46.5389,138.3297,-14.26,41,80,2.22,RU,1674448629
418,paraiso,9.8383,-83.8656,18.48,99,74,1.44,CR,1674448629
419,poros,37.4994,23.4536,9.36,66,21,4.69,GR,1674448630
420,gornopravdinsk,60.05,69.9,-13.51,96,80,2.73,RU,1674448631
421,hoquiam,46.9809,-123.8893,7.18,91,100,2.06,US,1674448632
422,praia,14.9215,-23.5087,19.3,72,20,3.09,CV,1674448632
423,gondar,12.6,37.4667,15.57,39,90,1.78,ET,1674448633
424,kovdor,67.5662,30.4758,-7.84,85,59,5.36,RU,1674448633
425,hokitika,-42.7167,170.9667,18.67,64,19,4.37,NZ,1674448634
426,vilkaviskis,54.6517,23.0322,-2.49,85,7,2.84,LT,1674448634
427,khvorostyanka,52.6096,48.9597,-17.42,93,99,0.8,RU,1674448635
428,barranca,-10.75,-77.7667,21.27,78,100,1.13,PE,1674448635
429,teya,60.3778,92.6267,-22.13,97,100,2.05,RU,1674448636
430,inuvik,68.3499,-133.7218,-20.44,84,100,4.12,CA,1674448636
431,nacala,-14.5428,40.6728,25.42,80,96,5.14,MZ,1674448637
432,karema,-6.8205,30.4389,21.13,87,100,1.06,TZ,1674448637
433,ketchikan,55.3422,-131.6461,2.99,93,100,7.2,US,1674448638
434,lyngseidet,69.5763,20.2189,7.0,83,89,7.37,NO,1674448638
435,bowen,-20.0167,148.2333,27.82,66,73,5.91,AU,1674448639
436,kutum,14.2,24.6667,13.04,17,0,2.31,SD,1674448639
437,tall kayf,37.0833,41.0667,3.19,51,0,0.78,TR,1674448640
438,kavaratti,10.5669,72.642,26.83,70,39,4.99,IN,1674448372
439,chiredzi,-21.05,31.6667,23.34,77,94,3.11,ZW,1674448641
440,villa bruzual,9.3328,-69.1208,25.67,63,99,1.42,VE,1674448641
441,tagusao,9.1924,117.8141,27.63,72,100,3.83,PH,1674448642
442,lima,-12.0432,-77.0282,22.72,80,20,3.6,PE,1674447845
443,nipawin,53.3668,-104.0009,0.02,80,100,5.14,CA,1674448643
444,zaprudnya,56.5667,37.4333,-6.39,96,92,2.2,RU,1674448643
445,mount pleasant,32.7941,-79.8626,13.33,96,100,4.63,US,1674448644
